"timeseries";"PEP_ID";"LON";"LAT";"Species";"YEAR";"DoY_off";"DoY_out";"autumn_anomaly";"spring_anomaly";"temp_GS";"temp_aut2";"temp_aut3";"RD";"RD_summer";"HRD";"HD35";"FD";"CO2";"ci";"VPD";"FD_spring";"cGSI";"cA_tot-w";"cA_tot"
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1999;285;137;8.03125;14.96875;18.91851;12.35729;12.53;115;18;61;1e-05;1e-05;4431.92623;2201.600467;3.258344694;1e-05;160.5222;1593.396256;1543.922916
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";2000;283;128;6.03125;5.96875;17.81387;10.998085;11.096;108;14;52;1e-05;2;4448.456432;2211.018034;2.794540794;2;160.9508;1524.785674;1504.789917
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";2001;289;119;12.03125;-3.03125;17.71054;12.56869;12.725;84;12;48;1e-05;1e-05;4467.15322;2595.172436;1.290004301;1e-05;153.1563;1495.720084;1490.383069
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";2002;289;117;12.03125;-5.03125;19.07071;14.246185;14.51433;106;8;66;1e-05;1e-05;4492.90663;2610.47102;1.479761429;1e-05;155.575;1443.577638;1484.909212
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";2005;291;123;14.03125;0.96875;18.66962;12.31571;12.441;97;11;55;1e-05;1e-05;4567.283986;2270.282525;2.318377751;1e-05;155.0509;1472.177576;1507.539928
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";2006;289;118;12.03125;-4.03125;21.4428;14.117745;14.37733;76;11;49;1e-05;1e-05;4593.970197;2670.099578;3.034053465;1e-05;154.3811;1481.496393;1447.18204
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";2007;283;104;6.03125;-18.03125;19.11861;11.506835;11.63867;88;14;55;1e-05;1;4611.765665;2679.294464;2.697043044;1;156.1124;1554.324457;1573.839098
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";2008;287;100;10.03125;-22.03125;18.25561;10.789835;10.844;86;10;39;1e-05;1;4638.050204;2695.744723;2.765355921;1;150.0977;1511.981115;1481.71794
"1002_Betula pendula";1002;7.33333;53.4;"Betula pendula";1975;279;111;-7.21875;1.125;19.62902607;10.53114582;10.626;85;16;48;1e-05;1e-05;3980.864693;2314.51884;3.412656278;1e-05;143.9569168;1408.722934;1369.262399
"1002_Betula pendula";1002;7.33333;53.4;"Betula pendula";1976;274;106;-12.21875;-3.875;19.75902693;9.127041688;9.169666667;69;8;33;1e-05;1e-05;3990.006065;2320.107106;3.521206945;1e-05;147.1933313;1481.133799;1284.876395
